canonical_name,slug,status_category,needs_prescription,priority,notes,aliases,primary_topics,adolescent_flag,developmental_systems
Adipotide,adipotide,preclinical,false,normal,Experimental ‘fat-targeting’ research peptide from preclinical work; no established human clinical use; avoid protocols.,fat targeting peptide|adipotide peptide,topic_fat_loss_metabolism,,
VIP,vip,investigational_human,false,normal,Endogenous neuropeptide; clinical use is specialized; avoid protocol claims and do not present as approved for general indications.,vasoactive intestinal peptide|vasoactive intestinal polypeptide|vip peptide,topic_immune_modulation|topic_gut_inflammation|topic_cognition_mood,,
LL-37,ll-37,investigational_human,false,normal,Human antimicrobial peptide (cathelicidin); studied in immune/skin contexts; avoid protocol claims and do not present as approved.,cathelicidin|hcap18|ll37,topic_immune_modulation|topic_skin_cosmetic,,
SNAP-8,snap-8,cosmetic_topical,false,normal,Cosmetic peptide (topical) marketed for wrinkle appearance; cosmetic-use evidence; avoid medical claims.,acetyl octapeptide-3|snap 8|snap-8 peptide,topic_skin_cosmetic,,
Oxytocin,oxytocin,approved_human,true,normal,FDA-approved oxytocin (Rx) uterotonic; include only label-level indications; no protocols.,pitocin|oxytocin injection,topic_hormonal_endocrine,,
hCG,hcg,approved_human,true,normal,FDA-approved chorionic gonadotropin hormone (Rx); include only label-level indications; no protocols.,human chorionic gonadotropin|chorionic gonadotropin|pregnyl,topic_hormonal_endocrine,,
Glutathione,glutathione,otc_supplement,false,normal,Antioxidant tripeptide (GSH) widely used as supplement/adjunct; evidence varies by route/formulation; avoid protocol claims.,gsh|reduced glutathione|l-glutathione|l glutathione,topic_skin_cosmetic|topic_longevity_aging,,
NAD+,nad-plus,otc_supplement,false,normal,Nicotinamide adenine dinucleotide; common ‘NAD+’ supplement/infusion topic (not a peptide). Claims vary by formulation/route; avoid protocols.,nad|nad+|nicotinamide adenine dinucleotide|nad plus|nad+ infusion,topic_longevity_aging|topic_cognition_mood,,
5-Amino-1MQ,5-amino-1mq,investigational_human,false,normal,5-Amino-1MQ is an investigational small molecule discussed in metabolic contexts; limited human evidence; avoid protocols.,5 amino 1mq|5-amino-1mq|5amino1mq,topic_fat_loss_metabolism|topic_longevity_aging,,
MK-677,mk-677,investigational_human,false,normal,Ibutamoren (MK-677) is a small-molecule ghrelin receptor agonist / GH secretagogue (not a peptide); investigational/controlled contexts; avoid protocols.,ibutamoren|mk677|mk 677,topic_hormonal_endocrine|topic_muscle_recovery|topic_sleep_circadian,,
Melanotan I,melanotan-i,investigational_human,false,normal,Melanotan I is an α-MSH analog; closely related to afamelanotide (drug). Keep claims conservative; avoid protocols.,melanotan 1|melanotan i|mt1|mt-1,topic_skin_cosmetic,,
Afamelanotide,afamelanotide,approved_human,true,normal,Afamelanotide is an approved melanocortin analog in specific indications; include only label-level indications; avoid protocols.,scenesse|afamelanotide implant|melanocortin analog,topic_skin_cosmetic,,
Cagrilintide,cagrilintide,investigational_human,false,high,Investigational long-acting amylin analog studied for weight management; avoid protocol claims and do not present as approved.,am833|amylin analog|long acting amylin,topic_fat_loss_metabolism|topic_hormonal_endocrine,,
Pramlintide,pramlintide,approved_human,true,normal,FDA-approved pramlintide (Symlin) amylin analog (Rx) for glycemic control adjunct in diabetes; include only label-level indications; no protocols.,symlin|symlinpen|amylin analog,topic_fat_loss_metabolism|topic_hormonal_endocrine,,
